Long,Lat,OBJECTID,Ward,WardCode,State,StateCode,Lga,LgaCode,Shape_Leng,Shape_Area,Location_I
6.5485,9.6367,5563,NASSARAWA \C\,8,NIGER,NG,CHANCHAGA,6,0.076634903,0.0002492697,CHANCHAGANASSARAWA \C\
4.1861,12.4399,5564,NASSARAWA II,2,KEBBI,KB,BIRNIN KEBBI,6,0.1259812359,0.0003731841,BIRNIN KEBBINASSARAWA II
4.0494,12.4822,5577,NAYILWA,8,KEBBI,KB,KALGO,12,0.1648167909,0.0014168294,KALGONAYILWA
4.5313,9.8751,5640,NEW BUSSA,6,NIGER,NG,BORGU,4,0.2139812277,0.0007250605,BORGUNEW BUSSA
7.3190,9.2833,5641,NEW BWARI,6,NIGER,NG,TAFA,24,0.7861456605,0.0076007228,TAFANEW BWARI
4.7989,10.3597,5651,NGASKI,8,KEBBI,KB,NGASKI,15,0.37738087,0.0042365396,NGASKINGASKI
6.6342,9.3264,5691,NIKUCHI T/MALLAM,9,NIGER,NG,PAIKORO,19,0.6313527893,0.0231095322,PAIKORONIKUCHI T/MALLAM
6.0483,9.4805,5806,NUWANKOTA,9,NIGER,NG,GBAKO,8,0.5592075948,0.0181387867,GBAKONUWANKOTA
6.6309,9.4177,6942,PAIKO CENTRAL,10,NIGER,NG,PAIKORO,19,0.2251061574,0.0023189175,PAIKOROPAIKO CENTRAL
4.4175,10.6139,6971,PAPIRI,8,NIGER,NG,AGWARA,2,0.3223092632,0.0028334831,AGWARAPAPIRI
5.0538,11.3649,6983,PENIN AMANA/PENIN GABA,10,KEBBI,KB,FAKAI,9,0.3237199634,0.0038682427,FAKAIPENIN AMANA/PENIN GABA
6.6881,9.7633,6988,PINA,13,NIGER,NG,SHIRORO,22,0.3286388707,0.0063058078,SHIROROPINA
5.4071,13.7782,7014,R. GATI,9,SOKOTO,SO,ILLELA,8,0.3289228336,0.0054651446,ILLELAR. GATI
5.2451,13.0535,7015,R/DOROWA \A\,1,SOKOTO,SO,SOKOTO SOUTH,17,0.0230955046,0.00003084517,SOKOTO SOUTHR/DOROWA \A\
